ID,Title,Author,State,Source Branch,Destination Branch,Created On,Updated On,Link
173,Hotfix/QA-11847 IFTC ProcedureCodeBug,Michael Walkley,MERGED,hotfix/QA-11847_IFTC_ProcedureCodeBug,master,2024-02-06T19:57:26.050166+00:00,2024-02-06T20:50:00.341409+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/173
172,QA-11836 Re-add the original fix for the procedure code preformance issues.,Michael Walkley,MERGED,hotfix/QA-11836_ProcedureCodeBug,master,2024-02-01T18:32:04.373689+00:00,2024-02-01T22:28:58.942775+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/172
169,Hotfix/QA-11736 OLA ValidateProcedureCodes TimeoutError,Michael Walkley,MERGED,hotfix/QA-11736_OLA_ValidateProcedureCodes_TimeoutError,master,2024-01-22T17:11:17.474056+00:00,2024-01-30T18:48:56.729379+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/169
171,Release/sprint 176,Greg Stone,MERGED,release/sprint_176,master,2024-01-24T20:24:45.941068+00:00,2024-01-30T15:43:53.644120+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/171
170,2024 01 23 v1 merge master into develop,Greg Stone,MERGED,2024-01-23-v1_merge_master_into_develop,develop,2024-01-23T23:00:02.901293+00:00,2024-01-24T19:37:07.333688+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/170
166,PR-4490 V2 Script for a new MH Data entry option for SF County,Judy Genensky,MERGED,feature/PR-4490_V1_SF_County_Avatar_CalAIM_UploadFile_with_AddOnCodes,develop,2023-12-28T22:01:27.761497+00:00,2024-01-23T20:58:17.857468+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/166
168,Hotfix/QA-11736 Fix Query,Max Hampton,MERGED,hotfix/QA-11736-Fix-Query,master,2024-01-17T22:23:01.016137+00:00,2024-01-17T22:33:06.159292+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/168
167,Update PCT query to filter down based on associated service codes.,Chris Sweeney,MERGED,hotfix/QA-11736_OLA_ValidateProcedureCodes_TimeoutError,master,2024-01-12T17:20:19.437060+00:00,2024-01-17T16:49:44.865369+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/167
160,PR-4518 Add v1 db script for SF Epic export,Michael Walkley,MERGED,feature/PR-4518_DataEntryReport_SF_Epic,develop,2023-11-08T17:42:34.387939+00:00,2023-11-22T18:24:36.654491+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/160
165,PR-4530 bug related to services that are linked to procedure code templates using Rule 18,Judy Genensky,MERGED,hotfix/PR-4530_bug_related_to_services_relying_on_templates_configured_around_rule_18,master,2023-11-15T23:12:02.055837+00:00,2023-11-17T18:28:21.774491+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/165
